time,US
12/31/2019,0
1/21/2020,0
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,2
1/26/2020,5
1/27/2020,5
1/28/2020,5
1/29/2020,6
1/30/2020,6
1/31/2020,8
2/1/2020,8
2/2/2020,8
2/3/2020,11
2/4/2020,11
2/5/2020,11
2/6/2020,12
2/7/2020,12
2/8/2020,12
2/9/2020,12
2/10/2020,12
2/11/2020,13
2/12/2020,13
2/13/2020,14
2/14/2020,14
2/15/2020,14
2/16/2020,14
2/17/2020,14
2/18/2020,14
2/19/2020,14
2/20/2020,14
2/21/2020,16
2/22/2020,16
2/23/2020,16
2/24/2020,16
2/25/2020,16
2/26/2020,16
2/27/2020,17
2/28/2020,17
2/29/2020,25
3/1/2020,32
3/2/2020,55
3/3/2020,74
3/4/2020,107
3/5/2020,184
3/6/2020,237
3/7/2020,403
3/8/2020,519
3/9/2020,594
3/10/2020,782
3/11/2020,1147
3/12/2020,1586
3/13/2020,2219
3/14/2020,2978
3/15/2020,3212
3/16/2020,4679
3/17/2020,6512
3/18/2020,9169
3/19/2020,13663
3/20/2020,20030
3/21/2020,26025
3/22/2020,34944
3/23/2020,46096
3/24/2020,56714
3/25/2020,68841
3/26/2020,86662
3/27/2020,105253
3/28/2020,127417
3/29/2020,143544
3/30/2020,165698
3/31/2020,192079
4/1/2020,227903
4/2/2020,260183
4/3/2020,292630
4/4/2020,324340
4/5/2020,353117
4/6/2020,385110
4/7/2020,415256
4/8/2020,446500
4/9/2020,482526
4/10/2020,516707
4/11/2020,545693
4/12/2020,571551
4/13/2020,598794
4/14/2020,627306
4/15/2020,653669
4/16/2020,683351
4/17/2020,716508
4/18/2020,743857
4/19/2020,768888
4/20/2020,799531
4/21/2020,825478
4/22/2020,855445
4/23/2020,887523
4/24/2020,919014
4/25/2020,949640
4/26/2020,975537
4/27/2020,1000230
4/28/2020,1024834
4/29/2020,1051643
4/30/2020,1081150
5/1/2020,1115972
5/2/2020,1142619
5/3/2020,1166189
5/4/2020,1190240
5/5/2020,1214321
5/6/2020,1238694
